cell,cell_life,minimum_dQ_100_10,variance_dQ_100_10,skewness_dQ_100_10,kurtosis_dQ_100_10,Slope_Cap_Fade_2_100,Intercept_Cap_Fade_2_100,Discharge_Cap_2,Diff_MaxCap_DC2,Avg_charge_time,Temp_Integ_2_100,Min_IR,Diff_IR_2_100
b1c0,1852.000000,-2.050261,-5.051527,-0.138643,-0.040960,-0.000207,1.091144,1.071900,0.006393,13.374894,41876.171150,0.016444,-0.000075
b1c1,2160.000000,-2.045150,-5.135776,-0.499000,0.016426,0.000006,1.080965,1.076612,0.007977,13.409150,41484.509937,0.016764,-0.000042
b1c2,2237.000000,-1.986994,-4.951883,-0.359039,0.069572,0.000010,1.084846,1.081315,0.006738,13.358242,41694.991899,0.016613,-0.000014
b1c3,1434.000000,-1.703321,-4.386348,-0.322093,0.050851,0.000017,1.084075,1.081228,0.005025,12.025140,35729.237342,0.016098,0.000039
b1c4,1709.000000,-1.837397,-4.604779,-0.456945,0.133910,0.000019,1.081875,1.079012,0.005304,12.041851,37527.249169,0.016369,-0.000053
b1c5,1074.000000,-1.583636,-4.155832,-0.849869,0.076409,0.000011,1.079755,1.076653,0.005417,10.967850,46090.122378,0.015923,-0.000112
b1c6,636.000000,-1.414229,-3.771283,-0.405104,0.082792,-0.000005,1.081157,1.077260,0.004879,10.076479,32094.376025,0.016542,-0.000333
b1c7,870.000000,-1.428857,-3.821834,-0.510463,0.046264,-0.000006,1.097254,1.095110,0.002858,10.025082,31809.844240,0.016083,-0.000038
b1c9,1054.000000,-1.528095,-3.978645,-0.337653,0.080953,0.000018,1.086771,1.083686,0.005264,11.207956,36328.258164,0.016611,-0.000034
b1c11,788.000000,-1.598897,-4.099072,-0.217875,0.073224,0.000022,1.058972,1.055032,0.008207,11.668876,37893.500809,0.015963,-0.000304
b1c14,880.000000,-1.548154,-4.048739,-0.579260,0.113353,0.000026,1.074765,1.072108,0.005735,10.764334,48581.628702,0.016649,-0.000068
b1c15,719.000000,-1.540126,-4.025168,-0.331178,0.089238,0.000029,1.066175,1.062743,0.006595,10.797706,48631.500355,0.016543,-0.000253
b1c16,862.000000,-1.559428,-4.101591,-1.084881,0.092608,0.000023,1.085288,1.082385,0.006207,10.113108,32495.633730,0.016328,-0.000015
b1c17,857.000000,-1.519521,-3.997218,-0.523291,0.108787,0.000018,1.076194,1.073284,0.005942,10.146881,32206.650439,0.016238,0.000022
b1c18,691.000000,-1.363078,-3.664002,-1.184584,0.140859,-0.000295,1.101465,1.066793,0.003975,9.958174,31279.305740,0.015846,-0.003995
b1c19,788.000000,-1.350036,-3.634370,-0.539012,0.118865,-0.000010,1.088897,1.086302,0.003003,9.924738,32485.485097,0.016205,-0.000066
b1c20,534.000000,-1.203867,-3.363507,-0.592135,0.037383,-0.000140,1.076970,1.073734,0.001990,9.021115,28734.838686,0.015036,-0.000581
b1c21,559.000000,-1.190853,-3.342297,-1.017749,0.060275,-0.000082,1.086398,1.083614,0.002312,8.964706,29483.145664,0.014895,-0.000204
b1c23,1014.000000,-1.524434,-4.029666,-0.908884,0.095120,-0.000007,1.082816,1.080552,0.003234,11.447006,36290.806303,0.016473,-0.000009
b1c24,1017.000000,-1.488016,-3.925082,-0.488653,0.106263,0.000002,1.077930,1.075514,0.003561,12.147216,40077.764106,0.016391,-0.000005
b1c25,854.000000,-1.515643,-3.997229,-0.460305,0.097269,0.000001,1.078822,1.076328,0.003585,12.130127,40672.880148,0.016398,-0.000011
b1c26,870.000000,-1.406881,-3.776006,-0.908556,0.104945,-0.000015,1.091350,1.088777,0.002769,10.764820,35453.053665,0.016130,0.000013
b1c27,842.000000,-1.435253,-3.833908,-0.526589,0.089964,-0.000011,1.082585,1.080172,0.002827,10.796985,36252.831875,0.015953,0.000032
b1c28,860.000000,-1.421391,-3.829275,-0.853264,0.097986,-0.000008,1.081090,1.079065,0.002529,11.129907,37241.859986,0.016468,0.000064
b1c29,917.000000,-1.427299,-3.824633,-0.850095,0.108845,-0.000005,1.083049,1.080658,0.003145,11.179535,36106.590806,0.016309,0.000018
b1c30,709.000000,-1.390058,-3.748312,-0.570241,0.091723,-0.000016,1.083658,1.081163,0.002655,10.130180,33618.135050,0.015838,0.000058
b1c31,876.000000,-1.396612,-3.769714,-0.998729,0.093914,-0.000026,1.098405,1.095935,0.002398,10.113673,30453.317004,0.016684,0.000011
b1c32,731.000000,-1.338113,-3.647524,-0.855763,0.107555,-0.000013,1.081323,1.078961,0.002695,10.096438,33174.938586,0.015933,0.000051
b1c33,757.000000,-1.349005,-3.668253,-1.098624,0.091921,-0.000022,1.096604,1.093831,0.002995,10.146429,33768.358640,0.016215,-0.000017
b1c34,742.000000,-1.425109,-3.843104,-0.886569,0.078193,-0.000000,1.080086,1.077839,0.003644,11.067937,35686.536293,0.016568,-0.000028
b1c35,703.000000,-1.398855,-3.759319,-1.057097,0.113150,0.000003,1.074345,1.071953,0.003873,11.051195,35069.802809,0.016648,0.000032
b1c36,704.000000,-1.347632,-3.656159,-1.805332,0.114665,-0.000007,1.081643,1.079117,0.003243,11.524843,36659.284421,0.016230,0.000088
b1c37,648.000000,-1.349435,-3.660004,-0.656493,0.110150,-0.000010,1.078524,1.076063,0.003229,11.574392,37725.042935,0.016318,0.000067
b1c38,617.000000,-1.238744,-3.432573,-1.306519,0.127421,-0.000009,1.076283,1.074008,0.002590,10.243067,34130.333564,0.016067,0.000089
b1c39,625.000000,-1.267821,-3.507486,-0.845757,0.103841,-0.000003,1.085827,1.083198,0.003269,10.258443,33974.247064,0.016520,0.000092
b1c40,966.000000,-1.546360,-4.090692,-0.678854,0.084677,-0.000008,1.087348,1.084605,0.003201,12.071223,40039.057514,0.016481,0.000067
b1c41,1051.000000,-1.437351,-4.063684,-0.082401,0.640571,-0.000000,1.082894,1.080284,0.003585,12.087368,39590.137233,0.016552,-0.000001
b1c42,702.000000,-1.348683,-3.670301,-3.330697,0.100273,0.000002,1.083781,1.081349,0.003483,11.171094,37166.241165,0.016511,0.000103
b1c43,651.000000,-1.342377,-3.665037,-0.649721,0.119130,-0.000024,1.071747,1.069389,0.002282,11.170874,36894.154788,0.015904,0.000128
b1c44,616.000000,-1.233346,-3.422325,-0.829794,0.107298,-0.000034,1.088556,1.086073,0.002258,10.271104,33059.308455,0.017143,0.000153
b1c45,599.000000,-1.232122,-3.423197,-0.901194,0.107371,-0.000013,1.087818,1.085259,0.003179,10.254465,33511.072852,0.016383,0.000150
b2c0,300.000000,-0.908476,-2.774438,-0.223355,-0.056907,-0.000355,1.078839,1.071910,0.001674,10.244165,30863.762345,0.016424,-0.000213
b2c1,148.000000,-0.862056,-2.734602,-0.089460,-0.188413,-0.001092,1.084408,1.072906,0.000710,10.327657,34419.725552,0.016267,-0.000833
b2c2,438.000000,-1.369562,-3.714914,-2.055955,0.117436,-0.000013,1.078680,1.075482,0.004486,10.075615,32640.206161,0.017209,-0.000232
b2c3,335.000000,-0.985195,-2.906423,-0.428659,0.019052,-0.000227,1.072521,1.067627,0.001283,10.135263,33775.298099,0.015853,-0.000334
b2c4,444.000000,-1.230633,-3.447613,-0.473949,0.015524,-0.000107,1.077331,1.074119,0.001528,10.124655,33044.761390,0.015998,-0.000855
b2c5,480.000000,-1.290887,-3.590390,-0.975896,0.113364,-0.000001,1.072032,1.069115,0.003905,10.162866,32154.741730,0.016727,-0.000309
b2c6,511.000000,-1.159051,-3.279355,-0.304516,-0.007592,-0.000214,1.075658,1.070214,0.002317,10.194623,33154.145012,0.015649,-0.001029
b2c10,561.000000,-1.327651,-3.611191,-0.726702,0.083349,-0.000060,1.074593,1.070553,0.003389,10.114951,33436.356469,0.017548,-0.000579
b2c11,477.000000,-1.314821,-3.604360,-0.593462,0.060933,-0.000041,1.076325,1.072929,0.002999,10.107076,33323.275077,0.017036,-0.000523
b2c12,458.000000,-1.187205,-3.359272,-0.391573,0.000947,-0.000148,1.076502,1.072314,0.001932,10.172639,33818.159771,0.016134,-0.000956
b2c13,483.000000,-1.139363,-3.243288,-1.159467,0.073329,-0.000121,1.085154,1.081616,0.001600,10.230924,33919.902824,0.016480,-0.000497
b2c14,485.000000,-1.263413,-3.490870,-0.903798,0.096495,-0.000004,1.082272,1.079529,0.003354,10.114209,33001.764419,0.016895,-0.000133
b2c17,494.000000,-1.272102,-3.459293,-0.868439,0.014728,0.000021,1.073534,1.069589,0.007123,10.161191,31578.676890,0.016975,-0.000504
b2c18,487.000000,-1.381699,-3.741066,-0.520311,0.031781,-0.000082,1.068283,1.064846,0.002763,10.185974,33270.861871,0.016698,-0.000436
b2c19,461.000000,-1.217001,-3.356592,-1.426459,0.100738,-0.000179,1.051277,1.048029,0.001650,10.333377,33400.128832,0.016435,-0.001035
b2c20,502.000000,-1.208088,-3.584619,-0.516993,-0.125504,-0.000006,1.088277,1.084736,0.004758,10.147933,32779.011481,0.017117,-0.000097
b2c21,489.000000,-1.195937,-3.353839,-1.068430,0.096837,-0.000044,1.082137,1.078383,0.003634,10.121576,32496.659307,0.017166,-0.000259
b2c22,513.000000,-1.262883,-3.567111,-1.026390,0.105676,-0.000008,1.084616,1.081332,0.004038,10.147472,32100.332017,0.016888,-0.000346
b2c23,527.000000,-1.232078,-3.456588,-1.023854,0.087360,-0.000067,1.078901,1.076363,0.001718,10.250747,32933.050329,0.016903,-0.000825
b2c24,495.000000,-1.167402,-3.783635,0.069456,0.399458,0.000003,1.071939,1.069100,0.004326,10.058893,29923.440329,0.016778,-0.000261
b2c25,461.000000,-1.280812,-3.597402,-1.108179,0.107702,-0.000030,1.072094,1.068833,0.003332,10.041987,29664.625122,0.016953,-0.000554
b2c26,471.000000,-1.281291,-3.556528,-1.056219,0.047510,-0.000037,1.082561,1.078936,0.003590,10.008232,31472.189449,0.017301,-0.000577
b2c27,468.000000,-1.401617,-3.782517,-1.143340,0.090195,0.000000,1.070598,1.067449,0.004338,10.147409,32090.231113,0.017141,-0.000267
b2c28,509.000000,-1.419395,-3.799901,-0.963976,0.070791,0.000007,1.076353,1.073284,0.004579,10.139686,33222.706424,0.016862,-0.000085
b2c29,498.000000,-1.351754,-3.641702,-0.429782,0.100228,0.000033,1.076575,1.074011,0.005330,10.114581,33613.678222,0.016838,0.000041
b2c30,481.000000,-1.382662,-3.737193,-1.049817,0.110499,0.000008,1.071720,1.068600,0.004558,10.097334,32527.404009,0.017394,-0.000316
b2c31,492.000000,-1.386495,-3.744514,-1.539679,0.091660,0.000013,1.078574,1.074917,0.005209,10.146884,31916.494781,0.017417,-0.000037
b2c32,519.000000,-1.365590,-3.685181,-0.755628,0.096385,0.000018,1.078765,1.075095,0.005832,10.130439,33367.336047,0.017274,0.000109
b2c33,520.000000,-1.333779,-3.612051,-0.793427,0.119980,0.000021,1.083521,1.079789,0.005807,10.129248,33068.552800,0.017406,0.000099
b2c34,499.000000,-1.391475,-3.758431,-0.520808,0.053608,0.000021,1.073611,1.069428,0.006275,10.164115,33620.326793,0.017337,-0.000149
b2c35,463.000000,-1.259674,-3.479989,-0.613050,0.097144,-0.000000,1.073355,1.069063,0.005425,10.130293,33730.658134,0.016970,-0.000378
b2c36,535.000000,-1.290096,-3.507082,-0.432789,0.109014,0.000024,1.083945,1.079204,0.006865,10.147722,33545.114231,0.020022,0.000100
b2c37,478.000000,-1.300197,-3.511679,-0.882041,0.153225,0.000035,1.078896,1.076178,0.005496,10.114688,32058.363874,0.017982,0.000093
b2c38,465.000000,-1.306891,-3.569886,-1.142837,0.117121,0.000016,1.074105,1.070408,0.005340,10.148493,32265.509317,0.017577,-0.000036
b2c39,459.000000,-1.254791,-3.452204,-2.222348,0.128922,0.000032,1.084284,1.079322,0.007560,10.144479,32223.943065,0.017882,0.000074
b2c40,499.000000,-1.288486,-3.532951,-1.187223,0.090209,-0.000020,1.082269,1.078874,0.004246,10.131583,33455.446996,0.016944,-0.000470
b2c41,429.000000,-1.347657,-3.684675,-0.653936,0.053286,0.000017,1.073883,1.070453,0.005656,10.128036,33265.948430,0.017491,-0.000079
b2c42,466.000000,-1.205568,-3.531497,-1.215888,0.094399,0.000012,1.082518,1.079802,0.004309,10.130454,33255.249813,0.016998,-0.000093
b2c43,462.000000,-1.181311,-3.322418,-1.184809,0.113268,0.000013,1.078976,1.075370,0.005270,10.129174,33111.189843,0.017880,0.000090
b2c44,457.000000,-1.243311,-3.458079,-2.130471,0.098654,0.000022,1.075214,1.072312,0.004941,10.146905,33130.845974,0.017409,0.000186
b2c45,487.000000,-1.306055,-3.575746,-0.901613,0.111580,-0.000007,1.074868,1.071760,0.003898,10.097114,32734.710875,0.016838,-0.000127
b2c46,429.000000,-1.196764,-3.353753,-1.270233,0.100580,0.000029,1.077632,1.074322,0.005676,10.146917,32411.015180,0.017552,0.000248
b2c47,713.000000,-1.544626,-4.070974,-0.508939,0.063602,-0.000010,1.049389,1.043801,0.006449,10.112717,32500.016771,0.017026,-0.000836
b3c0,1009.000000,-1.627170,-4.232673,-0.728731,0.074211,-0.000005,1.070659,1.068285,0.003086,10.044531,32008.716426,0.015180,-0.000128
b3c1,1063.000000,-1.637314,-4.248605,-0.579615,0.059381,-0.000015,1.068472,1.066184,0.002556,10.041139,34626.694601,0.014932,-0.000103
b3c3,1115.000000,-1.566176,-4.119551,-0.332582,0.007848,-0.000013,1.065298,1.063229,0.002305,10.042065,35871.163610,0.014885,0.000056
b3c4,1048.000000,-1.610409,-4.191087,-0.398745,0.048257,-0.000005,1.074805,1.073044,0.002221,10.045031,31940.891235,0.015085,-0.000067
b3c5,828.000000,-1.580007,-4.096563,-0.813601,0.108983,-0.000016,1.053974,1.052050,0.002006,10.041910,35352.438914,0.015131,-0.000167
b3c6,667.000000,-1.268204,-3.516391,-0.324574,-0.058235,-0.000202,1.064082,1.062980,0.000091,10.062472,34039.485113,0.013527,0.000320
b3c7,1836.000000,-1.766025,-4.487422,-0.499548,0.068747,-0.000002,1.070298,1.068266,0.002653,11.041577,35848.157395,0.015373,-0.000035
b3c8,828.000000,-1.570340,-4.109641,-0.704934,0.094446,-0.000003,1.068175,1.065618,0.003096,10.044950,32866.568865,0.015201,-0.000173
b3c9,1039.000000,-1.530780,-3.993958,-1.484411,0.118664,0.000001,1.072825,1.070338,0.003032,10.041749,32892.246046,0.015742,-0.000029
b3c10,1078.000000,-1.718263,-4.409925,-0.642128,0.071610,-0.000003,1.064525,1.062478,0.002522,11.045003,35557.434937,0.015319,-0.000144
b3c11,817.000000,-1.471726,-3.896727,-0.899771,0.097908,-0.000018,1.070729,1.068651,0.002109,10.042218,34005.502192,0.015485,-0.000050
b3c12,932.000000,-1.494952,-3.939858,-2.187732,0.105813,-0.000007,1.076676,1.074877,0.002066,10.042492,33027.954330,0.015998,-0.000040
b3c13,816.000000,-1.556667,-4.090024,-0.625016,0.072145,-0.000012,1.069335,1.066519,0.003125,10.042320,33919.581322,0.015064,-0.000145
b3c14,858.000000,-1.533261,-4.015364,-0.735412,0.110506,0.000005,1.076779,1.074260,0.003484,10.041712,32925.589611,0.015497,-0.000077
b3c15,876.000000,-1.522449,-3.991596,-0.888847,0.108926,-0.000012,1.071137,1.068996,0.002281,10.041534,33313.576793,0.015257,-0.000090
b3c16,1638.000000,-1.858544,-4.684958,-0.919418,-0.007231,-0.000010,1.064003,1.061581,0.002759,11.043366,38191.517361,0.015253,-0.000121
b3c17,1315.000000,-1.735319,-4.434764,-1.441848,-0.036326,-0.000006,1.067345,1.067147,0.001904,10.041974,34867.755181,0.015354,-0.000162
b3c18,1146.000000,-1.626730,-4.236141,-0.670399,0.027390,-0.000029,1.070362,1.068579,0.001575,10.043130,35089.123193,0.014978,-0.000037
b3c19,1155.000000,-1.587842,-4.152025,-0.922782,0.048044,-0.000030,1.074235,1.072664,0.001236,10.043437,34897.454155,0.015178,-0.000042
b3c20,813.000000,-1.562979,-4.096327,-0.507218,0.069136,-0.000007,1.067815,1.065752,0.002359,10.043330,32913.261396,0.015207,-0.000076
b3c21,772.000000,-1.355660,-3.693023,-0.296790,-0.074846,-0.000159,1.070112,1.068022,0.000675,10.067868,34825.143132,0.013940,0.000234
b3c22,1002.000000,-1.549031,-4.045690,-1.076047,0.100383,-0.000016,1.058970,1.056925,0.002184,10.043384,34410.387065,0.015615,-0.000123
b3c24,825.000000,-1.595000,-4.126907,-0.499117,0.104833,0.000010,1.049949,1.047224,0.003905,10.042240,34484.386364,0.015503,-0.000151
b3c25,989.000000,-1.570543,-4.131882,-0.487387,0.045830,0.000007,1.064468,1.061978,0.003492,10.041598,35375.453365,0.015591,-0.000049
b3c26,1028.000000,-1.609809,-4.209259,-0.507193,0.034410,-0.000000,1.075134,1.072576,0.003233,10.041817,35538.117127,0.015539,-0.000042
b3c27,850.000000,-1.564330,-4.110813,-0.477783,0.056565,-0.000004,1.063915,1.061331,0.003122,10.045022,35112.672104,0.014869,-0.000100
b3c28,541.000000,-1.234355,-3.441342,-0.547213,-0.003945,-0.000198,1.054621,1.052279,0.000419,10.059142,35653.535929,0.013169,0.000436
b3c29,858.000000,-1.543081,-4.050036,-0.511281,0.080533,0.000004,1.070292,1.067315,0.003886,10.041688,31080.185635,0.014745,-0.000166
b3c30,935.000000,-1.585611,-4.143468,-0.485308,0.054600,-0.000003,1.071880,1.069632,0.002707,10.043679,32059.361377,0.015510,-0.000114
b3c31,731.000000,-1.440693,-3.823472,-1.012230,0.116330,-0.000009,1.071259,1.068931,0.002711,10.046478,33813.859339,0.015812,-0.000030
b3c33,1284.000000,-1.687756,-4.370590,-0.415844,0.015549,-0.000013,1.062801,1.060788,0.002129,10.043301,32917.828153,0.015279,-0.000154
b3c34,1158.000000,-1.661724,-4.293401,-0.778340,0.062758,-0.000021,1.064325,1.062075,0.002203,10.044185,35575.866065,0.015220,-0.000107
b3c35,1093.000000,-1.628372,-4.218237,-0.528778,0.057702,-0.000020,1.065495,1.063791,0.001639,10.043149,35330.948373,0.015308,-0.000076
b3c36,923.000000,-1.627409,-4.236705,-0.657779,0.047144,-0.000022,1.060484,1.058055,0.002550,10.043801,35674.778045,0.015083,-0.000088
b3c40,796.000000,-1.655369,-4.309705,-0.480042,0.022415,-0.000008,1.063392,1.059896,0.003938,10.043563,33860.417101,0.015255,-0.000234
b3c41,786.000000,-1.608813,-4.199350,-0.511520,0.040280,0.000010,1.053878,1.051434,0.003450,10.042974,33447.610799,0.017007,-0.000173
b3c42,1642.000000,-2.233379,-4.384951,-0.781039,0.437447,0.000002,1.069428,1.067686,0.002303,11.038937,36099.127665,0.015754,-0.000562
b3c43,1046.000000,-1.699730,-4.152156,-0.477362,-0.283129,0.000003,1.072729,1.070812,0.002522,10.043888,33702.801503,0.015550,-0.000145
b3c44,940.000000,-1.584652,-4.133081,-0.665259,0.090173,0.000005,1.073078,1.070332,0.003573,10.043436,33160.813144,0.015517,-0.000106
b3c45,1801.000000,-1.771168,-4.505414,-0.493829,0.069021,-0.000000,1.071472,1.070114,0.002030,11.037650,35763.592302,0.015557,-0.000080
